id	title	has_explanation_evaluation	has_significance_testing	is_xai_interpretable	checked	verified	notes	Gemini	main_venue_match	Risk
yang-etal-2025-self	Self-Rationalization in the Wild: A Large-scale Out-of-Distribution Evaluation on {NLI}-related tasks	TRUE	TRUE	TRUE	✔	TRUE	significant test only on correlation, no other significant test reported		TACL	
michel-etal-2025-evaluating	Evaluating {LLM}s for Quotation Attribution in Literary Texts: A Case Study of {LL}a{M}a3	TRUE	TRUE	TRUE	✔	TRUE	LLMs memorization,  The authors calculated the correlation between quotation attribution accuracy and various metrics (Name-Cloze, CSG-Memorization, and CSG-Reasoning). Student's t-test (Top 5 vs. Bottom 5): Paired Student's t-test for Annotation Contamination:		NAACL	
saakyan-etal-2025-understanding	Understanding Figurative Meaning through Explainable Visual Entailment	TRUE	TRUE	TRUE	✔	TRUE	paired bootstrap test, with different significant test value.	" ""tests"": [
  ""paired bootstrap test"",
  ""Cohen’s κ""
 ],
 ""p_values"": [
  ""p < 0.03"",
  ""p < 0.002"",
  ""p < 0.05"",
  ""p < 0.07"",
  ""p < 0.1""
 ],
 ""evidence"": [
  ""propose a new task framing the figurative meaning understanding problem as an explainable visual entailment task"",
  ""justify the predicted label with a textual explanation"",
  ""identify common types of errors in VLM reasoning (hallucination and incomplete or unsound reasoning) across classes of models via human evaluation.""
 ],"	NAACL	
howard-etal-2025-uncovering	Uncovering Bias in Large Vision-Language Models at Scale with Counterfactuals	TRUE	TRUE	TRUE	✔	TRUE	Human/reference evaluation	Convince Gemini	NAACL	
wan-etal-2025-mamm	{MAMM}-Refine: A Recipe for Improving Faithfulness in Generation with Multi-Agent Collaboration	TRUE	TRUE	TRUE	✔	TRUE	We also evaluate the explanations generated by the DETECT subtask as part of its chain-of-thought. To evaluate our approach, we adopt the methodology outlined by Wadhwa et al. (2024), which we further verify with human evaluations in Section C.1. Specifically, we prompt GPT-4o to assess whether the generated critique aligns with the human-written critique. Mention kendall but no p-value		NAACL	
teplica-etal-2025-sciurus	{SCIUR}us: Shared Circuits for Interpretable Uncertainty Representations in Language Models	TRUE	TRUE	TRUE	✔	TRUE	We reject the null hypothesis with p < 0.05 in 36 out of 38 cases, and p < 0.0001 in 31 out of 38 cases.		NAACL	
xu-etal-2025-tree	Tree-of-Quote Prompting Improves Factuality and Attribution in Multi-Hop and Medical Reasoning	TRUE	TRUE	TRUE	✔	TRUE	"Human Attribution Evaluation, Our model demonstrates a strong Pearson cor-
relation with the clinician MOS (r = 0.866,
p < 0.001), indicating close alignment with av-
erage expert judgment. "		EMNLP	
dehghanighobadi-etal-2025-llms	Can {LLM}s Explain Themselves Counterfactually?	TRUE	TRUE	TRUE	✔	TRUE	" Human Annotation and Evaluation. We begin our failure case analysis with a human an-
notation study that evaluates the correctness of the generated SCEs. Our goal was to test if the SCE validity correlates with its correctness. We report the correlation results as (coefficient, p-value), where r denotes Pearson correlation, ρ denotes Spearman correlation, and p is the associated two-tailed significance level."		EMNLP	
tutek-etal-2025-measuring	Measuring Chain of Thought Faithfulness by Unlearning Reasoning Steps	TRUE	TRUE	TRUE	✔	TRUE	"We deploy the faithfulness evaluation protocol de-
scribed in §3, where we prompt M∗ and M to
answer directly, without reasoning, and then com-
pute how often their answers differ. Scatter plot of correlation between efficacy
and faithfulness. Scores reported are averages over 30 instances used for LR selection,"		EMNLP	
calderon-etal-2025-multi	Multi-Domain Explainability of Preferences	TRUE	TRUE	TRUE	✔	TRUE	"Human Evaluation of Concept Representations. As part of our method, concepts are annotated by
an LLM. We recruited six human annotators to
validate this step and asked each to annotate 400
concepts. Prediction Strength Our explanations rely on a white-box model trained to imitate preference decisions. Hacking Judges with Explanations To test whether our explanations identify concepts that
truly matter to LLM judges, we use them to guide
response generation <faithfulness>. Improving Judges with Explanations We apply
our explanations to resolve tie cases where LLM-
as-a-Judge models give inconsistent predictions de-
pending on response order. <utility>. sig-test: is statistically significant after Bonferroni correction (α < .006)."		EMNLP	
