id,title,has_explanation_evaluation,has_significance_testing,is_xai_interpretable,main_venue_match
yang-etal-2025-self,Self-Rationalization in the Wild: A Large-scale Out-of-Distribution Evaluation on {NLI}-related tasks,True,False,True,TACL
liu-etal-2025-exploring,Exploring Practical Gaps in Using Cross Entropy to Implement Maximum Mutual Information Criterion for Rationalization,True,False,True,TACL
guo-etal-2025-lab,{LAB}-{KG}: A Retrieval-Augmented Generation Method with Knowledge Graphs for Medical Lab Test Interpretation,False,False,True,COLING
tayyar-madabushi-etal-2025-generative,Generative {F}rame{N}et: Scalable and Adaptive Frames for Interpretable Knowledge Storage and Retrieval for {LLM}s Powered by {LLM}s,False,False,True,COLING
michel-etal-2025-evaluating,Evaluating {LLM}s for Quotation Attribution in Literary Texts: A Case Study of {LL}a{M}a3,False,False,False,NAACL
vladika-etal-2025-step,Step-by-Step Fact Verification System for Medical Claims with Explainable Reasoning,False,False,True,NAACL
saakyan-etal-2025-understanding,Understanding Figurative Meaning through Explainable Visual Entailment,True,False,True,NAACL
calderon-reichart-2025-behalf,On Behalf of the Stakeholders: Trends in {NLP} Model Interpretability in the Era of {LLM}s,False,False,True,NAACL
wang-etal-2025-llms-convert,Can {LLM}s Convert Graphs to Text-Attributed Graphs?,False,False,False,NAACL
gao-etal-2025-interpretable,An Interpretable and Crosslingual Method for Evaluating Second-Language Dialogues,False,False,True,NAACL
tan-etal-2025-cascading,Cascading Large Language Models for Salient Event Graph Generation,False,False,False,NAACL
lepori-etal-2025-racing,Racing Thoughts: Explaining Contextualization Errors in Large Language Models,True,False,True,NAACL
chen-etal-2025-benchmarking,Benchmarking Large Language Models on Answering and Explaining Challenging Medical Questions,True,False,True,NAACL
xing-etal-2025-evaluating,Evaluating Evidence Attribution in Generated Fact Checking Explanations,True,False,True,NAACL
howard-etal-2025-uncovering,Uncovering Bias in Large Vision-Language Models at Scale with Counterfactuals,False,False,False,NAACL
li-etal-2025-mitigating-biases,Mitigating Biases of Large Language Models in Stance Detection with Counterfactual Augmented Calibration,False,False,False,NAACL
wan-etal-2025-positional,On Positional Bias of Faithfulness for Long-form Summarization,True,False,True,NAACL
wan-etal-2025-mamm,{MAMM}-Refine: A Recipe for Improving Faithfulness in Generation with Multi-Agent Collaboration,True,False,True,NAACL
kim-etal-2025-llm,{LLM}-guided Plan and Retrieval: A Strategic Alignment for Interpretable User Satisfaction Estimation in Dialogue,False,False,True,NAACL
lee-etal-2025-self,Self-Training Meets Consistency: Improving {LLM}s' Reasoning with Consistency-Driven Rationale Evaluation,True,False,True,NAACL
menta-etal-2025-analyzing,Analyzing Memorization in Large Language Models through the Lens of Model Attribution,False,False,True,NAACL
yao-etal-2025-mcqg,"{MCQG}-{SR}efine: Multiple Choice Question Generation and Evaluation with Iterative Self-Critique, Correction, and Comparison Feedback",False,False,False,NAACL
ranaldi-etal-2025-eliciting,Eliciting Critical Reasoning in Retrieval-Augmented Generation via Contrastive Explanations,True,False,True,NAACL
golovanevsky-etal-2025-vlms,What Do {VLM}s {NOTICE}? A Mechanistic Interpretability Pipeline for {G}aussian-Noise-free Text-Image Corruption and Evaluation,True,False,True,NAACL
yu-etal-2025-self,Self-Generated Critiques Boost Reward Modeling for Language Models,False,False,False,NAACL
koupaee-etal-2025-faithful,"Faithful, Unfaithful or Ambiguous? Multi-Agent Debate with Initial Stance for Summary Evaluation",True,False,True,NAACL
teplica-etal-2025-sciurus,{SCIUR}us: Shared Circuits for Interpretable Uncertainty Representations in Language Models,True,False,True,NAACL
sohn-etal-2025-rationale,Rationale-Guided Retrieval Augmented Generation for Medical Question Answering,False,False,False,NAACL
chen-zeng-2025-prototype,Prototype Conditioned Generative Replay for Continual Learning in {NLP},False,False,False,NAACL
yuan-etal-2025-cross,Cross-Document Cross-Lingual {NLI} via {RST}-Enhanced Graph Fusion and Interpretability Prediction,False,False,True,EMNLP
staliunaite-vlachos-2025-dis2dis,{D}is2{D}is: Explaining Ambiguity in Fact-Checking,True,False,True,Findings
qian-etal-2025-teaching,Teaching Large Language Models Number-Focused Headline Generation With Key Element Rationales,False,False,False,Findings
fekete-bjerva-2025-linguistically,Linguistically Grounded Analysis of Language Models using Shapley Head Values,True,False,True,Findings
luo-etal-2025-faithfulpersona,{F}aithful{P}ersona: Balancing Faithfulness and Personalization in Code Explanations through Self-Critique,True,False,True,Findings
pan-etal-2025-prototype,Prototype Tuning: A Meta-Learning Approach for Few-Shot Document-Level Relation Extraction with Large Language Models,False,False,False,Findings
muhamed-etal-2025-decoding,Decoding Dark Matter: Specialized Sparse Autoencoders for Interpreting Rare Concepts in Foundation Models,True,False,True,Findings
chang-etal-2025-safr,{SAFR}: Neuron Redistribution for Interpretability,False,False,True,Findings
singh-etal-2025-fidelity,{FIDELITY}: Fine-grained Interpretable Distillation for Effective Language Insights and Topic Yielding,False,False,True,Findings
sun-chen-2025-enhancing,Enhancing the Prototype Network with Local-to-Global Optimization for Few-Shot Relation Extraction,False,False,False,Findings
avitan-etal-2025-practical,A Practical Method for Generating String Counterfactuals,True,False,True,Findings
lu-etal-2025-tart,{TART}: An Open-Source Tool-Augmented Framework for Explainable Table-based Reasoning,False,False,True,Findings
silva-etal-2025-cdb,"{CDB}: A Unified Framework for Hope Speech Detection Through Counterfactual, Desire and Belief",False,False,False,Findings
ye-etal-2025-improving,Improving Reward Models with Synthetic Critiques,False,False,True,Findings
jiao-etal-2025-feasibility,On the Feasibility of In-Context Probing for Data Attribution,False,False,True,Findings
chu-etal-2025-rationale,Rationale Behind Essay Scores: Enhancing {S}-{LLM}{'}s Multi-Trait Essay Scoring with Rationale Generated by {LLM}s,False,False,True,Findings
gai-etal-2025-medthink,{M}ed{T}hink: A Rationale-Guided Framework for Explaining Medical Visual Question Answering,True,False,True,Findings
jing-etal-2025-scale,On A Scale From 1 to 5: Quantifying Hallucination in Faithfulness Evaluation,True,False,True,Findings
bismay-etal-2025-reasoningrec,{R}easoning{R}ec: Bridging Personalized Recommendations and Human-Interpretable Explanations through {LLM} Reasoning,True,False,True,Findings
goel-etal-2025-target,Target-Augmented Shared Fusion-based Multimodal Sarcasm Explanation Generation,True,False,True,Findings
udagawa-etal-2025-bias,Bias Analysis and Mitigation through Protected Attribute Detection and Regard Classification,False,False,False,Findings
wang-etal-2025-multilingual-datasets,Multilingual Datasets for Custom Input Extraction and Explanation Requests Parsing in Conversational {XAI} Systems,False,False,True,Findings
wang-etal-2025-improving-llm,Improving {LLM} Reasoning through Interpretable Role-Playing Steering,False,False,True,Findings
li-etal-2025-dont,Don{'}t Take the Premise for Granted: Evaluating the Premise Critique Ability of Large Language Models,False,False,False,Findings
lan-etal-2025-training,Training Language Models to Critique With Multi-agent Feedback,False,False,False,Findings
shu-etal-2025-survey,A Survey on Sparse Autoencoders: Interpreting the Internal Mechanisms of Large Language Models,True,False,True,Findings
shu-etal-2025-large,Large Vision-Language Model Alignment and Misalignment: A Survey Through the Lens of Explainability,False,False,True,Findings
yu-etal-2025-structured,A Structured Framework for Evaluating and Enhancing Interpretive Capabilities of Multimodal {LLM}s in Culturally Situated Tasks,True,False,True,Findings
huang-etal-2025-manusearch,{M}anu{S}earch: Democratizing Deep Search in Large Language Models with a Transparent and Open Multi-Agent Framework,False,False,False,Findings
hossain-etal-2025-toward,Toward Inclusive Language Models: Sparsity-Driven Calibration for Systematic and Interpretable Mitigation of Social Biases in {LLM}s,True,False,True,Findings
ho-etal-2025-table,Table-Text Alignment: Explaining Claim Verification Against Tables in Scientific Papers,True,False,True,Findings
rao-etal-2025-llm,{LLM}-based Open Domain Planning by Leveraging Entity-Attribute-Level Domain Models,False,False,False,Findings
jeon-etal-2025-progressive,Progressive Facial Granularity Aggregation with Bilateral Attribute-based Enhancement for Face-to-Speech Synthesis,False,False,False,Findings
van-supranes-etal-2025-enhancing,Enhancing Hate Speech Classifiers through a Gradient-assisted Counterfactual Text Generation Strategy,False,False,False,Findings
du-etal-2025-role,Role-Guided Annotation and Prototype-Aligned Representation Learning for Historical Literature Sentiment Classification,False,False,False,Findings
wu-etal-2025-beyond-spurious,Beyond Spurious Signals: Debiasing Multimodal Large Language Models via Counterfactual Inference and Adaptive Expert Routing,False,False,False,Findings
zhang-etal-2025-hierprompt,{H}ier{P}rompt: Zero-Shot Hierarchical Text Classification with {LLM}-Enhanced Prototypes,False,False,False,Findings
ernst-etal-2025-come,Where Did That Come From? Sentence-Level Error-Tolerant Attribution,True,False,True,Findings
hu-etal-2025-explaining,Explaining Length Bias in {LLM}-Based Preference Evaluations,False,False,False,Findings
li-etal-2025-heal,{HEAL}: Hybrid Enhancement with {LLM}-based Agents for Text-attributed Hypergraph Self-supervised Representation Learning,False,False,False,Findings
yan-etal-2025-towards,Towards Efficient {C}o{T} Distillation: Self-Guided Rationale Selector for Better Performance with Fewer Rationales,True,False,True,Findings
chen-etal-2025-enhancing-attributed,Enhancing Attributed Question Answering using Tailored Progressive Curriculum Learning,False,False,False,Findings
xin-etal-2025-salamander,{S}ala{MA}nder: Shapley-based Mathematical Expression Attribution and Metric for Chain-of-Thought Reasoning,True,False,True,Findings
wu-etal-2025-unveiling-multimodal,Unveiling Multimodal Processing: Exploring Activation Patterns in Multimodal {LLM}s for Interpretability and Efficiency,False,False,True,Findings
kumar-etal-2025-extracting,Extracting Conceptual Spaces from {LLM}s Using Prototype Embeddings,False,False,True,Findings
eldifrawi-etal-2025-fingract,{F}in{G}r{A}ct: A Framework for {FIN}e-{GR}rained Evaluation of {ACT}ionability in Explainable Automatic Fact-Checking,True,False,True,Findings
wang-etal-2025-attribution,Attribution and Application of Multiple Neurons in Multimodal Large Language Models,True,False,True,Findings
ying-etal-2025-language,Language-Informed Synthesis of Rational Agent Models for Grounded Theory-of-Mind Reasoning On-the-fly,False,False,False,Findings
du-etal-2025-explainable,Explainable Text Classification with {LLM}s: Enhancing Performance through Dialectical Prompting and Explanation-Guided Training,True,False,True,Findings
koo-etal-2025-hawk,{HAWK}: Highlighting Entity-aware Knowledge for Alleviating Information Sparsity in Long Contexts,False,False,False,Findings
balasubramanian-etal-2025-closer,A Closer Look at Bias and Chain-of-Thought Faithfulness of Large (Vision) Language Models,True,False,True,Findings
zeng-etal-2025-mm,{MM}-{CRITIC}: A Holistic Evaluation of Large Multimodal Models as Multimodal Critique,True,False,True,Findings
peled-cohen-etal-2025-dementia,Dementia Through Different Eyes: Explainable Modeling of Human and {LLM} Perceptions for Early Awareness,True,False,True,Findings
luo-etal-2025-fair,Fair Text-Attributed Graph Representation Learning,False,False,False,Findings
li-etal-2025-influence,Do Influence Functions Work on Large Language Models?,True,False,True,Findings
aida-bollegala-2025-scdtour,{SCDT}our: Embedding Axis Ordering and Merging for Interpretable Semantic Change Detection,False,False,True,Findings
niaouri-etal-2025-mask,[{MASK}]{ED} - Language Modeling for Explainable Classification and Disentangling of Socially Unacceptable Discourse.,False,False,True,Findings
